country,q_news_consumption_1_w2,q_news_consumption_2_w2,q_news_consumption_3_w2,q_news_consumption_4_w2,q_news_consumption_5_w2,q_news_consumption_6_w2,q_news_consumption_7_w2,q_social_media_news_fb_w2,q_social_media_news_x_w2,q_social_media_news_tiktok_w2,q_social_media_news_insta_w2,q_social_media_news_telegram_w2,q_social_media_news_whatsapp_w2,q_social_media_news_yt_w2,q_social_media_news_lk_w2,q_whatsapp_groups_w2,q_politics_interest_w2,q_turnout_w2,q_fwdfav_w2,q_fakenews_w2,q_trust_neighbor_w2,q_trust_natgov_w2,q_trust_provgov_w2,q_trust_news_w2,q_trust_socmedia_w2,q_trust_elec_w2,dig_lit_all_w2,support_ingroup_w2,support_outgroup_w2,affect_pol_baseline_w2,feelsc_1_w2,feelsc_2_w2,feelsc_3_w2,feelsc_4_w2,feelsc_5_w2,feelsc_6_w2,feelsc_7_w2,feelsc_8_w2,feelsc_9_w2,salience_eth_w2,salience_political_w2,age_w1,gender_w1,education_w1,income_w2,whatsapp_time_w1,whatsapp_use_chat_w1,whatsapp_use_work_w1,whatsapp_use_news_w1
BR,0.8058252427184465,0.2609223300970872,0.08131067961165046,0.5618932038834952,0.8907766990291263,0.5072815533980579,0.0072815533980582405,4.144417475728156,4.862864077669903,4.400485436893203,4.418689320388349,4.110436893203884,4.576456310679612,3.8956310679611645,4.283980582524272,0.5594660194174756,6.725728155339806,1.0898058252427183,2.217233009708737,2.387135922330098,2.135922330097087,2.286407766990292,2.2317961165048543,2.496359223300971,2.114077669902913,2.826456310679612,2.512135922330097,18.5,16.469660194174757,2.0303398058252426,4.743932038834952,4.043689320388349,4.644417475728156,4.844660194174757,4.625,4.258495145631068,4.033980582524272,3.641990291262137,4.6383495145631075,7.485436893203884,7.258823529411766,2.507281553398058,0.35272727272727245,5.075151515151514,5.067961165048544,3.8096969696969682,5.762424242424243,5.343030303030303,4.997575757575756
IN,0.8392036753445633,0.18070444104134759,0.6676875957120982,0.7488514548238902,0.9509954058192958,0.6431852986217458,0,4.2052067381317,3.9601837672281777,5.289433384379786,4.344563552833078,3.9862174578866765,4.684532924961715,4.4257274119448695,3.650842266462481,1.2453987730061349,3.5926493108728947,1.1117917304747322,2.7764165390505355,2.4594180704441038,3.2067381316998467,3.460949464012251,3.2404287901990814,3.0352220520673807,2.8606431852986214,3.8621745788667687,3.07197549770291,18.983154670750384,16.941807044410414,2.0413476263399692,4.6049004594180705,4.572741194486984,4.849923430321593,5.6784073506891275,4.19448698315467,5.292496171516079,4.638591117917305,4.137825421133232,4.419601837672282,3.7274119448698313,3.546707503828484,2.1975497702909643,0.6845329249617151,4.973966309341501,4.537519142419602,3.133231240428789,4.5895865237366005,4.522205206738132,4.073506891271056
SA,0.7924528301886791,0.6482479784366579,0.2641509433962258,0.4784366576819411,0.9420485175202156,0.5929919137466312,0.004043126684636108,4.504043126684636,4.149595687331535,4.1415094339622645,3.871967654986524,3.869272237196766,4.715633423180593,3.638814016172507,3.6199460916442043,1.188933873144399,3.196765498652292,1.254716981132075,2.747978436657682,2.5633423180593,2.8274932614555253,2.2681940700808627,2.278975741239892,2.9905660377358494,2.66711590296496,2.7695417789757406,2.7803234501347704,18.150943396226417,16.83288409703504,1.318059299191374,4.900269541778976,4.223719676549867,3.8517520215633425,5.3328840970350395,4.803234501347708,4.021563342318059,3.7749326145552575,4.121293800539083,3.5727762803234486,4.004043126684637,3.502695417789757,2.284366576819406,0.28706199460916326,1.9083557951482493,4.1118598382749285,3.8706199460916446,5.819407008086253,5.270889487870621,5.140161725067385
